CO_FIP,total_precipitation_m,temperature_K,latitude_precip,longitude_precip,latitude_temp,longitude_temp,time
17001,0.0016036272048949,,40.05,-91.2,,,2007-12-01
17001,0.0032616375479846,270.932373046875,40.05,-91.2,40.05,-91.2,2008-01-01
17001,0.0027229784056543,270.49931640625,40.05,-91.2,40.05,-91.2,2008-02-01
17001,0.0038560984656214,277.78701171875,40.05,-91.2,40.05,-91.2,2008-03-01
17001,0.0034911393187939,283.98828125,40.05,-91.2,40.05,-91.2,2008-04-01
17001,0.0051403758116065,289.234375,40.05,-91.2,40.05,-91.2,2008-05-01
17001,0.0045093417633324,296.7158935546875,40.05,-91.2,40.05,-91.2,2008-06-01
17001,0.0010955093894153,297.6584228515625,40.05,-91.2,40.05,-91.2,2008-07-01
17001,0.0075296161696314,296.1812744140625,40.05,-91.2,40.05,-91.2,2008-08-01
17001,0.0015331327449529,292.3812255859375,40.05,-91.2,40.05,-91.2,2008-09-01
17001,0.0007987260352819,285.9364990234375,40.05,-91.2,40.05,-91.2,2008-10-01
17001,0.0034297227393835,278.8762451171875,40.05,-91.2,40.05,-91.2,2008-11-01
17001,0.0004057645332067,270.720849609375,40.05,-91.2,40.05,-91.2,2008-12-01
17001,0.0021485088393091,268.560107421875,40.05,-91.2,40.05,-91.2,2009-01-01
17001,0.0039314865600317,274.20625,40.05,-91.2,40.05,-91.2,2009-02-01
17001,0.0049402594100683,279.9361328125,40.05,-91.2,40.05,-91.2,2009-03-01
17001,0.0036880492232739,284.702099609375,40.05,-91.2,40.05,-91.2,2009-04-01
17001,0.0052862642332911,291.0291015625,40.05,-91.2,40.05,-91.2,2009-05-01
17001,0.0024172782432287,296.445556640625,40.05,-91.2,40.05,-91.2,2009-06-01
17001,0.0036593912169336,295.4227783203125,40.05,-91.2,40.05,-91.2,2009-07-01
17001,0.0040353297721594,295.581591796875,40.05,-91.2,40.05,-91.2,2009-08-01
17001,0.0063856348395347,292.08505859375,40.05,-91.2,40.05,-91.2,2009-09-01
17001,0.0031069993507116,283.33603515625,40.05,-91.2,40.05,-91.2,2009-10-01
17001,0.0027256011497228,282.07978515625,40.05,-91.2,40.05,-91.2,2009-11-01
17001,0.0019753217697142,271.97939453125,40.05,-91.2,40.05,-91.2,2009-12-01
17001,0.0020272135268896,267.004248046875,40.05,-91.2,40.05,-91.2,2010-01-01
17001,0.002426457311958,268.7030517578125,40.05,-91.2,40.05,-91.2,2010-02-01
17001,0.0041539666708558,280.134521484375,40.05,-91.2,40.05,-91.2,2010-03-01
17001,0.0053075551986694,289.239208984375,40.05,-91.2,40.05,-91.2,2010-04-01
17001,0.0061127185355871,291.049267578125,40.05,-91.2,40.05,-91.2,2010-05-01
17001,0.0053223131690173,297.8550048828125,40.05,-91.2,40.05,-91.2,2010-06-01
17001,0.0023534296080469,299.09921875,40.05,-91.2,40.05,-91.2,2010-07-01
17001,0.004362988192588,298.8261962890625,40.05,-91.2,40.05,-91.2,2010-08-01
17001,0.0010654329322278,293.2813232421875,40.05,-91.2,40.05,-91.2,2010-09-01
17001,0.001422726875171,287.2863037109375,40.05,-91.2,40.05,-91.2,2010-10-01
17001,0.0012519776821136,280.0622802734375,40.05,-91.2,40.05,-91.2,2010-11-01
